TestName,hidden_dim_m1,gamma_m1,noise_dim_m1,dim_m1,batch_size_m1,log_step_m1,learning_rate_m1
T0,12.0,0.5,32.0,32.0,60.0,50.0,0.0003
T1,12.0,0.5,32.0,32.0,60.0,50.0,0.0006
T2,12.0,0.5,32.0,32.0,60.0,70.0,0.0003
T3,12.0,0.5,32.0,32.0,60.0,70.0,0.0006
T4,12.0,0.5,32.0,32.0,90.0,50.0,0.0003
T5,12.0,0.5,32.0,32.0,90.0,50.0,0.0006
T6,12.0,0.5,32.0,32.0,90.0,70.0,0.0003
T7,12.0,0.5,32.0,32.0,90.0,70.0,0.0006
T8,12.0,0.5,32.0,128.0,60.0,50.0,0.0003
T9,12.0,0.5,32.0,128.0,60.0,50.0,0.0006
T10,12.0,0.5,32.0,128.0,60.0,70.0,0.0003
T11,12.0,0.5,32.0,128.0,60.0,70.0,0.0006
T12,12.0,0.5,32.0,128.0,90.0,50.0,0.0003
T13,12.0,0.5,32.0,128.0,90.0,50.0,0.0006
T14,12.0,0.5,32.0,128.0,90.0,70.0,0.0003
T15,12.0,0.5,32.0,128.0,90.0,70.0,0.0006
T16,12.0,0.5,128.0,32.0,60.0,50.0,0.0003
T17,12.0,0.5,128.0,32.0,60.0,50.0,0.0006
T18,12.0,0.5,128.0,32.0,60.0,70.0,0.0003
T19,12.0,0.5,128.0,32.0,60.0,70.0,0.0006
T20,12.0,0.5,128.0,32.0,90.0,50.0,0.0003
T21,12.0,0.5,128.0,32.0,90.0,50.0,0.0006
T22,12.0,0.5,128.0,32.0,90.0,70.0,0.0003
T23,12.0,0.5,128.0,32.0,90.0,70.0,0.0006
T24,12.0,0.5,128.0,128.0,60.0,50.0,0.0003
T25,12.0,0.5,128.0,128.0,60.0,50.0,0.0006
T26,12.0,0.5,128.0,128.0,60.0,70.0,0.0003
T27,12.0,0.5,128.0,128.0,60.0,70.0,0.0006
T28,12.0,0.5,128.0,128.0,90.0,50.0,0.0003
T29,12.0,0.5,128.0,128.0,90.0,50.0,0.0006
T30,12.0,0.5,128.0,128.0,90.0,70.0,0.0003
T31,12.0,0.5,128.0,128.0,90.0,70.0,0.0006
T32,12.0,1.0,32.0,32.0,60.0,50.0,0.0003
T33,12.0,1.0,32.0,32.0,60.0,50.0,0.0006
T34,12.0,1.0,32.0,32.0,60.0,70.0,0.0003
T35,12.0,1.0,32.0,32.0,60.0,70.0,0.0006
T36,12.0,1.0,32.0,32.0,90.0,50.0,0.0003
